"player","round","score","opp.no.","player.no.","bye","vp","result","start","opp","opp.score","margin","blank","j","q","x","z","s","overtime","minute","second","power.tiles","bingo.count","bingo.points"
"Hubert Wee",1,382,19,1,"N",0,"Lose","Y","Tan Jin Chor",536,-154,1,0,0,0,1,1,"N",3,0,3,1,72
"Marlon Prudencio",1,427,13,2,"N",1,"Win","Y","Vannitha Balasingam",329,98,1,1,1,0,0,4,"N",1,26,7,3,215
"Wong Zhi Yuan",1,426,12,3,"N",1,"Win","Y","Aaron Chong",398,28,2,0,1,0,1,2,"N",7,36,6,3,219
"Victor Gwee",1,319,15,4,"N",0,"Lose","Y","William Kang",487,-168,0,0,1,1,1,1,"N",0,21,4,0,0
"Tony Sim",1,459,14,5,"N",1,"Win","Y","Yeo Kian Hung",399,60,0,0,1,1,1,3,"N",2,23,6,2,176
"Ricky Purnomo",1,485,17,6,"N",1,"Win","Y","Vinnith Ramamurti",262,223,1,1,0,1,0,2,"N",0,44,5,2,149
"Victor Chua",1,404,16,7,"N",0,"Lose","Y","Martin Teo",501,-97,0,1,1,0,0,1,"N",3,45,3,1,67
"Michael Tang",1,316,20,8,"N",0,"Lose","Y","Alex Tan",502,-186,0,0,1,1,0,3,"N",0,57,5,0,0
"Yong Jian Rong",1,488,11,9,"N",0,"Lose","Y","Nigel Richards",501,-13,2,0,0,0,1,1,"N",0,6,4,3,225
"Shim Yen Nee",1,483,18,10,"N",1,"Win","Y","Jocelyn Lor",368,115,1,0,1,1,0,3,"N",3,8,6,2,162
"Nigel Richards",1,501,9,11,"N",1,"Win","N","Yong Jian Rong",488,13,0,1,1,1,0,3,"N",11,26,6,2,131
"Aaron Chong",1,398,3,12,"N",0,"Lose","N","Wong Zhi Yuan",426,-28,0,1,0,1,0,2,"N",1,13,4,1,91
"Vannitha Balasingam",1,329,2,13,"N",0,"Lose","N","Marlon Prudencio",427,-98,1,0,0,1,1,0,"Y",2,48,3,1,76
"Yeo Kian Hung",1,399,5,14,"N",0,"Lose","N","Tony Sim",459,-60,2,1,0,0,0,1,"N",7,18,4,2,139
"William Kang",1,487,4,15,"N",1,"Win","N","Victor Gwee",319,168,2,1,0,0,0,3,"N",6,40,6,3,225
"Martin Teo",1,501,7,16,"N",1,"Win","N","Victor Chua",404,97,2,0,0,1,1,3,"N",8,17,7,3,237
"Vinnith Ramamurti",1,262,6,17,"N",0,"Lose","N","Ricky Purnomo",485,-223,1,0,1,0,1,2,"Y",0,16,5,1,76
"Jocelyn Lor",1,368,10,18,"N",0,"Lose","N","Shim Yen Nee",483,-115,1,1,0,0,1,1,"N",0,0,4,1,80
"Tan Jin Chor",1,536,1,19,"N",1,"Win","N","Hubert Wee",382,154,1,1,1,1,0,3,"N",3,0,7,3,235
"Alex Tan",1,502,8,20,"N",1,"Win","N","Michael Tang",316,186,2,1,0,0,1,1,"N",13,18,5,3,318
"Hubert Wee",2,504,14,1,"N",1,"Win","N","Yeo Kian Hung",449,55,1,0,1,0,1,2,"N",6,47,5,3,235
"Marlon Prudencio",2,495,19,2,"N",1,"Win","N","Tan Jin Chor",453,42,1,0,1,0,0,2,"N",1,13,4,2,226
"Wong Zhi Yuan",2,395,16,3,"N",1,"Win","N","Martin Teo",317,78,2,0,0,1,0,2,"N",2,37,5,3,227
"Victor Gwee",2,347,11,4,"N",0,"Lose","N","Nigel Richards",426,-79,0,1,0,1,1,3,"N",4,20,6,0,0
"Tony Sim",2,454,18,5,"N",1,"Win","N","Jocelyn Lor",322,132,1,0,1,0,1,4,"N",1,8,7,2,154
"Ricky Purnomo",2,269,13,6,"N",0,"Lose","N","Vannitha Balasingam",365,-96,1,0,1,0,1,0,"Y",2,29,3,1,70
"Victor Chua",2,431,20,7,"N",1,"Win","N","Alex Tan",367,64,2,0,1,1,0,3,"N",5,5,7,3,204
"Michael Tang",2,415,15,8,"N",0,"Lose","N","William Kang",444,-29,0,1,0,1,1,2,"N",3,7,5,2,152
"Yong Jian Rong",2,376,12,9,"N",0,"Lose","N","Aaron Chong",396,-20,1,1,0,0,0,3,"N",10,7,5,2,141
"Shim Yen Nee",2,460,17,10,"N",1,"Win","N","Vinnith Ramamurti",440,20,0,1,1,0,1,1,"N",0,34,4,1,99
"Nigel Richards",2,426,4,11,"N",1,"Win","Y","Victor Gwee",347,79,2,0,1,0,0,1,"N",8,5,4,2,145
"Aaron Chong",2,396,9,12,"N",1,"Win","Y","Yong Jian Rong",376,20,1,0,1,1,1,1,"N",2,34,5,1,83
"Vannitha Balasingam",2,365,6,13,"N",1,"Win","Y","Ricky Purnomo",269,96,1,1,0,1,0,4,"Y",0,47,7,1,75
"Yeo Kian Hung",2,449,1,14,"N",0,"Lose","Y","Hubert Wee",504,-55,1,1,0,1,0,2,"N",8,50,5,3,227
"William Kang",2,444,8,15,"N",1,"Win","Y","Michael Tang",415,29,2,0,1,0,0,2,"N",3,15,5,3,217
"Martin Teo",2,317,3,16,"N",0,"Lose","Y","Wong Zhi Yuan",395,-78,0,1,1,0,1,2,"N",4,4,5,0,0
"Vinnith Ramamurti",2,440,10,17,"N",0,"Lose","Y","Shim Yen Nee",460,-20,2,0,0,1,0,3,"N",0,40,6,3,235
"Jocelyn Lor",2,322,5,18,"N",0,"Lose","Y","Tony Sim",454,-132,1,1,0,1,0,0,"N",4,12,3,0,0
"Tan Jin Chor",2,453,2,19,"N",0,"Lose","Y","Marlon Prudencio",495,-42,1,1,0,1,1,2,"N",12,24,6,2,165
"Alex Tan",2,367,7,20,"N",0,"Lose","Y","Victor Chua",431,-64,0,1,0,0,1,1,"N",5,39,3,0,0
"Hubert Wee",3,346,16,1,"N",0,"Lose","Y","Martin Teo",491,-145,1,1,0,1,1,2,"N",4,49,6,1,76
"Marlon Prudencio",3,483,14,2,"N",1,"Win","Y","Yeo Kian Hung",397,86,1,0,1,0,0,4,"N",5,47,6,3,243
"Wong Zhi Yuan",3,449,18,3,"N",1,"Win","Y","Jocelyn Lor",416,33,1,1,1,1,1,2,"N",3,11,7,2,153
"Victor Gwee",3,506,12,4,"N",1,"Win","Y","Aaron Chong",491,15,2,0,0,1,1,1,"N",2,49,5,2,174
"Tony Sim",3,460,20,5,"N",1,"Win","Y","Alex Tan",348,112,2,1,1,0,0,2,"N",0,8,6,3,221
"Ricky Purnomo",3,407,11,6,"N",1,"Win","Y","Nigel Richards",381,26,2,1,0,0,1,2,"N",0,8,6,1,75
"Victor Chua",3,416,19,7,"N",0,"Lose","Y","Tan Jin Chor",430,-14,0,1,0,1,0,1,"N",0,6,3,1,65
"Michael Tang",3,381,13,8,"N",0,"Lose","Y","Vannitha Balasingam",429,-48,0,0,0,1,1,2,"N",1,30,4,1,80
"Yong Jian Rong",3,398,17,9,"N",0,"Lose","Y","Vinnith Ramamurti",407,-9,1,0,0,1,0,2,"N",3,3,4,2,139
"Shim Yen Nee",3,516,15,10,"N",1,"Win","Y","William Kang",375,141,1,0,0,1,0,2,"N",1,7,4,4,282
"Nigel Richards",3,381,6,11,"N",0,"Lose","N","Ricky Purnomo",407,-26,0,0,1,1,0,2,"N",6,48,4,1,75
"Aaron Chong",3,491,4,12,"N",0,"Lose","N","Victor Gwee",506,-15,0,1,1,0,0,3,"N",6,40,5,3,203
"Vannitha Balasingam",3,429,8,13,"N",1,"Win","N","Michael Tang",381,48,2,1,1,0,0,2,"N",0,40,6,3,212
"Yeo Kian Hung",3,397,2,14,"N",0,"Lose","N","Marlon Prudencio",483,-86,1,1,0,1,1,0,"N",9,18,4,2,164
"William Kang",3,375,10,15,"N",0,"Lose","N","Shim Yen Nee",516,-141,1,1,1,0,1,2,"N",13,35,6,2,157
"Martin Teo",3,491,1,16,"N",1,"Win","N","Hubert Wee",346,145,1,0,1,0,0,2,"N",9,55,4,4,273
"Vinnith Ramamurti",3,407,9,17,"N",1,"Win","N","Yong Jian Rong",398,9,1,1,1,0,1,2,"N",4,53,6,2,156
"Jocelyn Lor",3,416,3,18,"N",0,"Lose","N","Wong Zhi Yuan",449,-33,1,0,0,0,0,2,"N",0,44,3,2,168
"Tan Jin Chor",3,430,7,19,"N",1,"Win","N","Victor Chua",416,14,2,0,1,0,1,3,"N",3,9,7,3,227
"Alex Tan",3,348,5,20,"N",0,"Lose","N","Tony Sim",460,-112,0,0,0,1,1,2,"N",7,54,4,1,80
"Hubert Wee",4,445,18,1,"N",1,"Win","N","Jocelyn Lor",350,95,1,1,1,0,1,3,"N",6,59,7,3,238
"Marlon Prudencio",4,429,16,2,"N",1,"Win","N","Martin Teo",393,36,1,1,1,0,1,2,"N",4,3,6,2,165
"Wong Zhi Yuan",4,523,20,3,"N",1,"Win","N","Alex Tan",360,163,1,0,1,1,1,4,"N",7,0,8,4,326
"Victor Gwee",4,367,19,4,"N",0,"Lose","N","Tan Jin Chor",421,-54,1,1,1,1,0,1,"N",1,15,5,1,63
"Tony Sim",4,482,17,5,"N",1,"Win","N","Vinnith Ramamurti",437,45,2,0,0,1,1,4,"N",2,6,8,3,251
"Ricky Purnomo",4,370,12,6,"N",0,"Lose","N","Aaron Chong",532,-162,0,0,0,0,1,2,"Y",0,56,3,1,84
"Victor Chua",4,339,15,7,"N",0,"Lose","N","William Kang",439,-100,1,1,1,0,1,3,"N",1,2,7,2,129
"Michael Tang",4,364,11,8,"N",0,"Lose","N","Nigel Richards",568,-204,0,0,1,0,1,1,"N",2,54,3,1,70
"Yong Jian Rong",4,369,14,9,"N",0,"Lose","N","Yeo Kian Hung",384,-15,1,0,1,0,0,3,"N",7,11,5,1,61
"Shim Yen Nee",4,343,13,10,"N",0,"Lose","N","Vannitha Balasingam",456,-113,1,1,0,1,1,1,"N",0,57,5,1,74
"Nigel Richards",4,568,8,11,"N",1,"Win","Y","Michael Tang",364,204,2,1,0,1,0,3,"N",7,49,7,3,308
"Aaron Chong",4,532,6,12,"N",1,"Win","Y","Ricky Purnomo",370,162,2,1,1,1,0,2,"N",7,9,7,3,240
"Vannitha Balasingam",4,456,10,13,"N",1,"Win","Y","Shim Yen Nee",343,113,1,0,1,0,0,3,"N",1,8,5,3,219
